MCS,cells,mean_component_assembled_pore,mean_component_assembly_sites,mean_component_channel_complex,mean_component_connecting_complex,mean_component_nup188_inner_ring,mean_component_nup205_inner_ring,mean_component_y_complex,mean_localization_cytoplasm,mean_localization_nuclear_envelope,stage_fraction_channel_complex,stage_fraction_connecting_complex,stage_fraction_inner_ring,stage_fraction_mature,stage_fraction_none,stage_fraction_seed,stage_fraction_y_complex_scaffold,total_component_assembled_pore,total_component_assembly_sites,total_component_channel_complex,total_component_connecting_complex,total_component_nup188_inner_ring,total_component_nup205_inner_ring,total_component_y_complex
1750.0,484.0,0.002066115702479339,1.0,2.946280991735537,10.582644628099173,0.2768595041322314,0.3347107438016529,15.921487603305785,0.2008264462809934,0.799173553719015,0.15495867768595042,0.493801652892562,0.0,0.002066115702479339,0.0,0.01859504132231405,0.3305785123966942,1.0,484.0,1426.0,5122.0,134.0,162.0,7706.0
1775.0,484.0,0.002066115702479339,1.0,3.1487603305785123,10.74793388429752,0.36363636363636365,0.3925619834710744,15.933884297520661,0.2008264462809934,0.799173553719015,0.17768595041322313,0.49793388429752067,0.0,0.002066115702479339,0.0,0.01859504132231405,0.3037190082644628,1.0,484.0,1524.0,5202.0,176.0,190.0,7712.0
1800.0,484.0,0.002066115702479339,1.0,3.4049586776859506,10.880165289256198,0.45867768595041325,0.49586776859504134,15.938016528925619,0.20072314049586942,0.799276859504139,0.19421487603305784,0.49173553719008267,0.002066115702479339,0.002066115702479339,0.0,0.01652892561983471,0.29338842975206614,1.0,484.0,1648.0,5266.0,222.0,240.0,7714.0
1825.0,484.0,0.004132231404958678,1.0,3.677685950413223,10.983471074380166,0.5413223140495868,0.5991735537190083,15.942148760330578,0.20072314049586942,0.799276859504139,0.21487603305785125,0.49586776859504134,0.002066115702479339,0.004132231404958678,0.0,0.014462809917355372,0.26859504132231404,2.0,484.0,1780.0,5316.0,262.0,290.0,7716.0
1850.0,484.0,0.006198347107438017,1.0,3.9049586776859506,11.053719008264462,0.6198347107438017,0.7107438016528925,15.950413223140496,0.20041322314049753,0.799586776859511,0.2396694214876033,0.5041322314049587,0.0,0.006198347107438017,0.0,0.014462809917355372,0.23553719008264462,3.0,484.0,1890.0,5350.0,300.0,344.0,7720.0
1875.0,484.0,0.006198347107438017,1.0,4.161157024793388,11.152892561983471,0.7148760330578512,0.8636363636363636,15.954545454545455,0.20041322314049753,0.799586776859511,0.2603305785123967,0.5103305785123967,0.0,0.006198347107438017,0.0,0.010330578512396695,0.2128099173553719,3.0,484.0,2014.0,5398.0,346.0,418.0,7722.0
1900.0,484.0,0.006198347107438017,1.0,4.384297520661157,11.264462809917354,0.8264462809917356,0.9834710743801653,15.962809917355372,0.20010330578512567,0.799896694214883,0.2871900826446281,0.49793388429752067,0.0,0.006198347107438017,0.0,0.010330578512396695,0.19834710743801653,3.0,484.0,2122.0,5452.0,400.0,476.0,7726.0
1925.0,484.0,0.006198347107438017,1.0,4.603305785123967,11.334710743801653,0.9628099173553719,1.0950413223140496,15.97107438016529,0.20010330578512567,0.799896694214883,0.3119834710743802,0.4896694214876033,0.004132231404958678,0.006198347107438017,0.0,0.008264462809917356,0.1797520661157025,3.0,484.0,2228.0,5486.0,466.0,530.0,7730.0
1950.0,484.0,0.008264462809917356,1.0,4.855371900826446,11.433884297520661,1.103305785123967,1.2231404958677685,15.979338842975206,0.20010330578512567,0.799896694214883,0.3450413223140496,0.46487603305785125,0.004132231404958678,0.008264462809917356,0.0,0.008264462809917356,0.16942148760330578,4.0,484.0,2350.0,5534.0,534.0,592.0,7734.0
1975.0,484.0,0.008264462809917356,1.0,5.086776859504132,11.49586776859504,1.2355371900826446,1.3677685950413223,15.979338842975206,0.20010330578512567,0.799896694214883,0.3739669421487603,0.45661157024793386,0.006198347107438017,0.008264462809917356,0.0,0.008264462809917356,0.14669421487603307,4.0,484.0,2462.0,5564.0,598.0,662.0,7734.0
2000.0,484.0,0.008264462809917356,1.0,5.268595041322314,11.561983471074381,1.3512396694214877,1.524793388429752,15.987603305785123,0.20010330578512567,0.799896694214883,0.3987603305785124,0.43388429752066116,0.014462809917355372,0.008264462809917356,0.0,0.008264462809917356,0.13636363636363635,4.0,484.0,2550.0,5596.0,654.0,738.0,7738.0
2025.0,484.0,0.012396694214876033,1.0,5.487603305785124,11.603305785123966,1.5,1.7272727272727273,15.991735537190083,0.20010330578512567,0.799896694214883,0.41115702479338845,0.42768595041322316,0.014462809917355372,0.012396694214876033,0.0,0.008264462809917356,0.12603305785123967,6.0,484.0,2656.0,5616.0,726.0,836.0,7740.0
2050.0,484.0,0.012396694214876033,1.0,5.690082644628099,11.648760330578513,1.6818181818181819,1.921487603305785,16.0,0.20000000000000168,0.8000000000000069,0.4380165289256198,0.4194214876033058,0.014462809917355372,0.012396694214876033,0.0,0.008264462809917356,0.10743801652892562,6.0,484.0,2754.0,5638.0,814.0,930.0,7744.0
2075.0,484.0,0.01859504132231405,1.0,5.851239669421488,11.690082644628099,1.834710743801653,2.1322314049586777,16.0,0.20000000000000168,0.8000000000000069,0.45454545454545453,0.40082644628099173,0.02066115702479339,0.01859504132231405,0.0,0.004132231404958678,0.1012396694214876,9.0,484.0,2832.0,5658.0,888.0,1032.0,7744.0
